iter	Passed	Remaining
0	55	16539
1	55	8320
2	56	5578
3	56	4205
4	57	3381
5	57	2833
6	58	2442
7	58	2149
8	59	1920
9	59	1736
10	60	1586
11	60	1461
12	61	1355
13	61	1264
14	62	1184
15	62	1115
16	63	1054
17	63	1000
18	64	951
19	64	907
20	65	869
21	65	833
22	66	800
23	67	770
24	67	742
25	67	716
26	68	692
27	68	669
28	69	648
29	69	629
30	70	610
31	70	594
32	71	578
33	71	563
34	72	548
35	72	534
36	73	521
37	73	509
38	74	498
39	74	486
40	75	476
41	75	466
42	76	456
43	76	447
44	77	438
45	77	429
46	78	421
47	78	413
48	79	405
49	79	398
50	80	391
51	80	384
52	81	377
53	81	371
54	82	365
55	82	359
56	83	353
57	83	348
58	83	343
59	84	337
60	84	332
61	85	327
62	85	323
63	86	318
64	86	314
65	87	309
66	87	305
67	88	301
68	88	297
69	89	293
70	89	288
71	90	285
72	90	281
73	91	278
74	91	275
75	92	271
76	92	268
77	93	265
78	93	261
79	94	258
80	94	255
81	95	252
82	95	249
83	96	246
84	96	244
85	97	241
86	97	238
87	97	236
88	98	233
89	99	231
90	99	228
91	100	226
92	100	223
93	101	221
94	101	218
95	101	216
96	102	214
97	102	212
98	103	209
99	103	207
100	104	205
101	104	203
102	105	201
103	105	199
104	106	197
105	106	195
106	107	193
107	107	191
108	108	189
109	108	187
110	108	185
111	109	183
112	109	181
113	110	180
114	110	178
115	111	176
116	111	174
117	112	173
118	112	171
119	113	169
120	113	168
121	114	166
122	114	165
123	115	163
124	115	162
125	116	160
126	116	158
127	117	157
128	117	156
129	118	154
130	118	153
131	119	151
132	119	150
133	120	148
134	120	147
135	121	145
136	121	144
137	122	143
138	122	142
139	123	140
140	123	139
141	124	138
142	124	136
143	125	135
144	125	134
145	126	133
146	126	131
147	127	130
148	127	129
149	128	128
150	128	126
151	129	125
152	129	124
153	129	123
154	130	122
155	130	120
156	131	119
157	131	118
158	132	117
159	132	116
160	133	115
161	133	114
162	134	112
163	134	111
164	136	111
165	136	110
166	136	109
167	137	107
168	137	106
169	138	105
170	138	104
171	139	103
172	139	102
173	140	101
174	140	100
175	141	99
176	141	98
177	142	97
178	142	96
179	143	95
180	143	94
181	144	93
182	144	92
183	145	91
184	145	90
185	146	89
186	146	88
187	147	87
188	147	86
189	148	85
190	148	84
191	149	83
192	149	82
193	150	82
194	150	81
195	151	80
196	151	79
197	152	78
198	152	77
199	153	76
200	153	75
201	154	74
202	154	73
203	155	73
204	155	72
205	156	71
206	156	70
207	157	69
208	157	68
209	158	67
210	158	67
211	159	66
212	159	65
213	160	64
214	160	63
215	161	62
216	161	61
217	162	61
218	162	60
219	163	59
220	163	58
221	164	57
222	164	56
223	165	56
224	165	55
225	166	54
226	166	53
227	167	52
228	167	52
229	168	51
230	168	50
231	169	49
232	169	48
233	170	48
234	170	47
235	171	46
236	171	45
237	172	44
238	172	44
239	173	43
240	173	42
241	174	41
242	174	40
243	174	40
244	175	39
245	175	38
246	176	37
247	176	37
248	177	36
249	177	35
250	178	34
251	178	34
252	179	33
253	179	32
254	180	31
255	180	31
256	181	30
257	181	29
258	182	28
259	182	28
260	183	27
261	183	26
262	184	25
263	184	25
264	185	24
265	185	23
266	186	22
267	186	22
268	187	21
269	187	20
270	187	20
271	188	19
272	188	18
273	189	17
274	189	17
275	190	16
276	190	15
277	191	15
278	191	14
279	192	13
280	192	13
281	193	12
282	193	11
283	194	10
284	194	10
285	195	9
286	195	8
287	195	8
288	196	7
289	196	6
290	197	6
291	197	5
292	198	4
293	198	4
294	199	3
295	199	2
296	200	2
297	200	1
298	201	0
299	201	0
